title,rating,votes
The Tortoise and the Hare,7.1,3408
Ferdinand the Bull,7.1,3451
Lonesome Ghosts,7.5,3141
Early to Bed,7.1,1287
Three Little Pigs,7.5,6446
Steamboat Willie,7.5,10383
The Big Bad Wolf,6.9,2208
Mickey's Trailer,7.9,3479
Santa's Workshop,7.1,2616
Flowers and Trees,7.3,3548
The Ugly Duckling,6.3,202
The Grasshopper and the Ants,6.9,44
The Old Mill,7.8,4659
The Band Concert,7.8,3801
Beach Picnic,6.5,1234
Brave Little Tailor,7.6,3213
Mr. Mouse Takes a Trip,7,1387
Mickey's Birthday Party,6.4,991
How to Fish,6.8,1246
Chef Donald,7.1,1505
The Wise Little Hen,7,2419
Clock Cleaners,7.4,2828
Three Blind Mouseketeers,6.3,1136
On Ice,8.3,9564
Chip an' Dale,7.3,1850
The Little Whirlwind,6.6,1294
Thru The Mirror,7.5,2656
Ye Olden Days,6.5,1463
The Golden Touch,6.8,1524
Mickey's Rival,6.6,1256
Three Little Wolves,7,1684
How to Swim,7,1197
Donald's Golf Game,6.6,1275
Pluto's Sweater,6.6,710
Mr. Duck Steps Out,7.2,1278
Lend a Paw,6.9,1825
Donald's Tire Trouble,6.6,970
All in a Nutshell,7.3,1275
Toby Tortoise Returns,6.6,1465
Trailer Horn,6.7,807
Society Dog Show,6.8,1091
Mickey and the Seal,6.9,1276
Hawaiian Holiday,6.9,1674
Food for Feudin',6.6,803
The Olympic Champ,6.8,1120
Boat Builders,7.1,1595
Tugboat Mickey,6.9,1170
Donald's Dog Laundry,6.7,1212
A Knight for a Day,6.7,1180
The Art of Skiing,7.1,1856
Winter Storage,7.2,1212
The Pied Piper,7.8,1485
The Goddess of Spring,6.6,1252
Canine Caddy,6.3,874
Elmer Elephant,6.8,1402
Mickey's Delayed Date,6.5,790
Bone Bandit,6.2,622
Babes in the Woods,6.7,1337
Mickey Down Under,5.7,716
Rescue Dog,6.5,754
How to Play Football,7,1361
Pluto and the Gopher,6.1,550
Mail Dog,6.2,423
The Hockey Champ,7,1412
Double Dribble,6.6,953
Pluto's Surprise Package,6.2,554
How to Play Baseball,7.1,1261
Sea Scouts,6.8,870
Pluto's Purchase,6.4,537
Beaver Valley,7,354
Man in Space,5.4,1671
The Story of the Faithful Wookiee,6,460
Mars and Beyond,3.1,75
Lambert the Sheepish Lion,7.6,2510
Pluto's Christmas Tree,7.6,3246
